"","POSITION_X","POSITION_Y"
"1",10.48,21.596
"2",17.393,21.847
"3",7.571,24.151
"4",0.782,24.925
"5",4.883,25.133
"6",2.486,24.316
"7",15.954,25.471
"8",2.984,24.194
"9",6.897,25.892
"10",6.233,27.246
"11",8.713,26.79
"12",9.326,27.535
"13",9.584,28.332
"14",7.622,29.025
"15",9.012,32.713
"16",9.231,28.907
"17",8.437,33.436
"18",7.233,33.219
"19",5.095,34.577
"20",2.822,35.12
"21",4.685,35.906
"22",4.364,36.65
"23",4.027,23.926
"24",10.533,36.448
"25",9.446,37.067
"26",15.012,37.273
"27",3.148,37.551
"28",1.604,37.778
"29",8.266,37.439
"30",0.539,37.728
"31",13.274,39.439
"32",6.803,39.305
"33",15.47,39.963
"34",6.065,42.445
"35",5.418,43.053
"36",12.638,44.167
"37",7.636,44.398
"38",5.258,41.186
"39",17.153,62.983
"40",9.044,68.998
"41",7.385,69.343
"42",4.443,81.094
"43",9.398,73.008
"44",29.509,15.252
"45",31.822,14.377
"46",22.284,17.314
"47",37.562,24.758
"48",33.842,25.829
"49",37.283,22.89
"50",23.214,32.428
"51",38.015,32.509
"52",40.601,39.879
"53",21.601,48.244
"54",24.07,50.423
"55",37.725,48.239
"56",24.658,50.711
"57",22.801,51.095
"58",32.461,51.395
"59",24.678,53.99
"60",36.714,51.773
"61",22.695,55.269
"62",26.967,55.23
"63",23.329,55.789
"64",21.062,62.434
"65",32.469,60.43
"66",35.499,67.5
"67",38.619,65.324
"68",33.191,68.499
"69",34.614,71.162
"70",21.843,71.689
"71",22.91,69.65
"72",38.995,74.07
"73",34.142,71.921
"74",34.948,74.943
"75",39.878,79.398
"76",24.32,81.76
"77",35.601,76.209
"78",24.96,81.76
"79",40.48,81.76
"80",52.44,6.793
"81",58.933,6.854
"82",57.921,13.698
"83",49.921,16.747
"84",45.257,20.382
"85",45.995,23.081
"86",59.117,24.246
"87",51.494,26.329
"88",46.085,33.087
"89",56.774,33.583
"90",46.642,34.916
"91",45.798,36.18
"92",40.993,41.141
"93",45.847,48.081
"94",43.68,52.043
"95",45.646,53.644
"96",45.127,57.638
"97",52.826,58.939
"98",44.026,62.868
"99",45.143,63.495
"100",45.144,64.007
"101",43.85,64.124
"102",45.745,72.542
"103",42.72,81.76
"104",64.203,5.496
"105",75.172,5.375
"106",80.415,7.364
"107",61.636,14.302
"108",79.441,18.217
"109",70.812,20.203
"110",74.453,20.549
"111",66.651,21.068
"112",63.112,32.041
"113",71.394,32.183
"114",65.468,33.751
"115",66.205,35.389
"116",67.24,36.588
"117",67.438,39.572
"118",74.769,39.859
"119",72.19,42.67
"120",81.76,44.8
"121",77.038,45.005
"122",81.76,45.6
"123",81.76,46.4
"124",70.243,46.512
"125",72.437,46.547
"126",81.76,47.52
"127",81.76,49.44
"128",81.76,50.72
"129",74.661,52.698
"130",70.469,53.594
"131",64.345,62.926
"132",67.818,64.028
"133",65.604,65.377
"134",67.569,65.825
"135",69.132,66.221
"136",63.804,72.588
"137",61.468,75.393
