"","POSITION_X","POSITION_Y"
"1",80.187,34.125
"2",63.674,35.465
"3",80.448,36.639
"4",72.403,36.944
"5",79.208,38.523
"6",69.915,39.851
"7",63.716,37.084
"8",70.597,37.332
"9",66.066,40.567
"10",75.556,40.884
"11",66.783,42.744
"12",74.786,43.574
"13",74.437,41.82
"14",68.348,42.213
"15",66.316,44.138
"16",67.438,45.544
"17",66.249,46.47
"18",65.863,47.75
"19",72.209,48.894
"20",65.192,49.936
"21",77.347,50.207
"22",70.536,50.724
"23",65.574,50.926
"24",71.248,51.348
"25",66.162,51.484
"26",66.917,51.814
"27",67.652,52.352
"28",78.141,53.22
"29",65.314,56.198
"30",78.862,56.239
"31",71.625,57.494
"32",77.917,57.982
"33",64.543,58.236
"34",71.918,58.561
"35",64.782,59.855
"36",61.782,60.602
"37",70.862,61.476
"38",67.842,61.759
"39",66.668,66.384
"40",69.159,67.291
"41",71.17,68.936
"42",67.482,73.252
"43",65.277,73.821
"44",72.236,76.991
"45",67.806,77.922
"46",68.999,80.057
"47",64.983,80.205
"48",67.04,81.76
"49",4.949,1.761
"50",6.805,5.091
"51",18.7,7.733
"52",8.975,8.417
"53",14.721,12.806
"54",0.424,13.698
"55",0.616,10.264
"56",2.774,10.874
"57",13.999,20.428
"58",11.675,21.591
"59",19.882,63.544
"60",20.373,63.835
"61",16.666,64.912
"62",16.199,65.888
"63",16.08,22.048
"64",11.261,30.65
"65",8.616,72.182
"66",15.701,73.714
"67",11.772,67.404
"68",12.714,68.706
"69",19.489,75.631
"70",5.874,75.886
"71",7.286,79.68
"72",26.035,0.601
"73",40.047,0.783
"74",20.541,1.285
"75",24.352,4.351
"76",33.224,14.637
"77",25.269,15.494
"78",25.725,16.649
"79",27.271,17.057
"80",22.39,19.653
"81",40.271,22.592
"82",23.562,29.087
"83",20.724,32.678
"84",39.478,33.587
"85",21.761,1.65
"86",40.462,3.315
"87",20.833,34.187
"88",28.5,36.775
"89",33.909,38.588
"90",32.144,41.463
"91",32.019,46.762
"92",40.323,46.708
"93",33.616,41.477
"94",27.773,45.532
"95",14.535,10.977
"96",6.469,11.915
"97",37.804,62.073
"98",23.67,65.267
"99",26.237,50.057
"100",39.764,52.811
"101",29.282,66.414
"102",30.621,67.346
"103",24.247,68.645
"104",36.293,72.891
"105",33.971,73.278
"106",28.043,74.584
"107",36.129,75.553
"108",36.364,76.678
"109",36.491,78.145
"110",26.988,78.924
"111",35.083,79.657
"112",55.044,1.124
"113",32.143,78.988
"114",29.767,79.284
"115",42,5.716
"116",60.653,12.154
"117",57.784,15.085
"118",59.248,16.251
"119",33.793,77.498
"120",25.555,77.584
"121",61.289,16.594
"122",47.982,17.084
"123",41.555,18.003
"124",60.039,24.216
"125",58.167,25.948
"126",42.682,26.742
"127",53.303,31.213
"128",47.897,31.523
"129",59,26.834
"130",41.514,26.958
"131",56.508,27.556
"132",42.219,30.282
"133",26.075,76.742
"134",34.745,77.347
"135",55.58,31.571
"136",57.018,31.943
"137",45.308,32.819
"138",47.928,32.978
"139",51.351,33.004
"140",46.053,33.144
"141",45.599,36.746
"142",46.657,36.766
"143",54.585,36.883
"144",55.895,36.91
"145",56.933,34.072
"146",56.048,34.259
"147",53.702,37.968
"148",55.428,37.943
"149",54.991,42.138
"150",41.935,42.287
"151",58.041,42.175
"152",51.997,43.87
"153",46.829,47.058
"154",41.625,53.416
"155",56.297,55.388
"156",59.241,55.479
"157",42.822,54.064
"158",52.061,54.392
"159",59.523,62.808
"160",46.782,64.354
"161",48.62,64.243
"162",53.053,64.255
"163",54.864,57.17
"164",41.223,58.802
"165",50.755,35.286
"166",47.261,35.768
"167",47.468,66.395
"168",40.897,67.169
"169",42.035,68.088
"170",56.467,68.421
"171",59.174,71.496
"172",61.21,72.308
"173",66.077,1.966
"174",62.056,11.525
"175",64.099,11.831
"176",66.095,15.032
"177",58.298,78.22
"178",75.22,0.711
"179",67.482,18.258
"180",63.835,21.011
"181",81.76,32.48
"182",65.338,34.125
"183",76.036,23.339
"184",81.265,31.915
"185",65.71,21.492
"186",64.729,22.18
