"","POSITION_X","POSITION_Y"
"1",60.906,52.512
"2",61.276,53.875
"3",55.472,55.232
"4",60.137,57.89
"5",50.61,58.255
"6",56.275,60.065
"7",58.148,59.987
"8",45.034,65.186
"9",48.263,66.533
"10",46.367,66.831
"11",45.395,68.436
"12",47.481,68.352
"13",44.136,78.729
"14",49.932,80.482
"15",46.4,81.76
"16",57.28,81.76
"17",66.525,19.039
"18",78.271,30.484
"19",68.868,33.005
"20",76.229,39.482
"21",66.112,35.498
"22",62.373,39.949
"23",64.305,46.058
"24",64.873,49.898
"25",81.76,63.52
"26",78.394,50.893
"27",13.76,81.76
"28",18.659,35.928
"29",0,17.28
"30",9.873,21.922
"31",0.213,31.812
"32",16.92,33.108
"33",8.394,59.733
"34",11.463,75.026
"35",8.566,76.117
"36",15.362,78.368
"37",12.8,81.76
"38",24.019,15.549
"39",36.932,16.794
"40",37.025,18.352
"41",33.258,22.465
"42",28.622,25.425
"43",35.25,26.52
"44",27.457,31.121
"45",26.462,38.01
"46",25.456,32.551
"47",27.381,38.515
"48",26.545,54.674
"49",25.357,38.812
"50",30.555,69.306
"51",56.319,2.897
"52",55.25,3.585
"53",48.969,13.741
"54",60.76,11.537
"55",47.662,27.361
"56",41.747,30.671
"57",60.146,32.231
"58",47.453,32.408
"59",42.556,39.632
"60",59.84,41.443
"61",53.515,45.686
"62",55.773,46.054
"63",50.47,46.987
