"","POSITION_X","POSITION_Y"
"1",9.267,23.815
"2",29.435,15.502
"3",32.213,40.225
"4",22.918,49.905
"5",20.585,50.05
"6",21.66,53.451
"7",38.513,55.726
"8",29.436,50.832
"9",28.717,58.482
"10",21.772,49.811
"11",28.433,61.419
"12",30.8,67.379
"13",28.796,69.333
"14",24.802,72.756
"15",57.64,20.218
"16",43.036,28.03
"17",59.029,29.291
"18",56.446,27.937
"19",50.427,37.49
"20",58.796,30.014
"21",21.865,74.245
"22",46.098,39.148
"23",45.244,49.442
"24",54.983,60.1
"25",41.814,61.442
"26",51.348,42.506
"27",57.122,64.331
"28",45.326,64.889
"29",50.341,65.141
"30",44.682,73.006
"31",43.16,67.848
"32",51.199,65.606
"33",60.355,73.469
"34",81.76,14.24
"35",81.508,27.874
"36",61.502,28.045
"37",74.878,29.771
"38",67.099,29.868
"39",65.814,38.242
"40",79.207,38.853
"41",81.03,42.251
"42",67.724,42.888
"43",76.674,47.245
"44",68.568,43.761
"45",67.24,49.164
"46",68.847,80.471
"47",74.158,43.758
"48",65.798,62.049
"49",72.659,43.448
