"","POSITION_X","POSITION_Y"
"1",7.213,4.141
"2",13.125,14.492
"3",13.159,29.33
"4",14.533,21.914
"5",10.215,30.333
"6",0.584,34.263
"7",8.036,36.652
"8",9.81,17.33
"9",1.006,40.615
"10",0.509,41.589
"11",9.953,37.963
"12",9.118,43.674
"13",3.919,44.048
"14",5.329,44.682
"15",14.88,47.999
"16",1.396,46.898
"17",2.13,52.316
"18",8.994,52.528
"19",2.48,53.18
"20",14.74,53.375
"21",17.019,61.071
"22",16.466,61.828
"23",11.47,72.592
"24",9.77,74.639
"25",13.141,79.881
"26",23.36,0
"27",24.8,0
"28",32.333,9.323
"29",22.224,15.955
"30",37.902,16.545
"31",36.462,17.856
"32",33.559,18.525
"33",25.258,18.942
"34",22.082,26.474
"35",25.317,31.623
"36",23.786,32.29
"37",28.447,31.846
"38",30.31,32.652
"39",27.869,33.945
"40",23.38,38.563
"41",37.434,38.6
"42",38.451,39.226
"43",21.625,39.83
"44",36.144,40.006
"45",30.509,41.357
"46",35.115,45.144
"47",27.777,47.449
"48",39.034,49.449
"49",35.829,49.858
"50",28.883,50.474
"51",28.135,53.235
"52",30.37,54.076
"53",27.928,54.001
"54",21.912,54.375
"55",36.316,55.515
"56",34.244,58.218
"57",20.875,56.693
"58",38.915,58.319
"59",39.278,59.66
"60",25.724,61.818
"61",32.302,59.811
"62",36.819,63.084
"63",22.479,63.423
"64",34.734,69.933
"65",23.031,72.237
"66",24.223,75.472
"67",39.603,74.69
"68",40.683,75.847
"69",36.868,78.906
"70",33.794,79.744
"71",61.357,3.315
"72",53.328,5.45
"73",46.735,20.451
"74",54.468,19.757
"75",51.263,25.104
"76",52.948,26.052
"77",42.967,32.62
"78",55.867,35
"79",47.821,34.929
"80",55.2,35.625
"81",56.142,37.212
"82",46.194,37.524
"83",41.46,41.904
"84",53.979,42.371
"85",50.659,44.354
"86",41.761,47.464
"87",47.956,53.835
"88",47.964,55.35
"89",55.803,56.015
"90",44.321,56.937
"91",45.006,60.765
"92",42.818,61.66
"93",45.326,63.002
"94",56.372,63.948
"95",46.418,66.286
"96",43.655,66.945
"97",51.954,67.397
"98",62.689,3.99
"99",75.356,4.699
"100",80.812,5.56
"101",80.54,9.892
"102",74.112,15.72
"103",69.373,17.997
"104",64.176,19.17
"105",74.942,20.032
"106",70.154,20.703
"107",77.644,20.563
"108",61.904,20.99
"109",64.056,21.361
"110",66.037,21.738
"111",80.708,21.733
"112",75.551,24.262
"113",66.166,29.996
"114",68.892,32.655
"115",71.803,36.723
"116",64.685,48.43
"117",75.394,50.262
"118",76.418,53.582
"119",67.488,53.94
"120",74.623,54.356
"121",70.002,56.312
"122",73.829,58.431
"123",75.87,58.331
"124",64.405,65.413
"125",77.517,66.649
"126",72.007,66.877
"127",74.95,68.482
"128",73.072,71.823
"129",67.796,74.705
"130",68.228,75.586
"131",70.927,80.198
"132",80.349,81.052
