"","POSITION_X","POSITION_Y"
"1",75.589,48.837
"2",68.336,49.906
"3",62.172,50.184
"4",78.528,50.35
"5",79.16,50.575
"6",81.76,51.52
"7",61.62,52.309
"8",64.111,53.136
"9",66.789,53.943
"10",64.286,54.987
"11",81.76,57.28
"12",62.516,61.03
"13",81.76,61.12
"14",64.128,61.612
"15",81.76,61.76
"16",64.658,62.539
"17",65.683,62.847
"18",65.737,63.469
"19",66.069,65.547
"20",76.565,65.855
"21",77.096,66.124
"22",77.098,67.41
"23",64.932,67.496
"24",66.099,67.623
"25",65.471,68.938
"26",62.21,69.942
"27",65.329,70.265
"28",79.781,71.103
"29",63.888,71.119
"30",81.04,72.796
"31",76.517,74.687
"32",62.482,77.286
"33",65.679,80.652
"34",66.864,80.716
"35",62.858,80.948
"36",10.556,21.433
"37",14.601,37.998
"38",15.703,46.543
"39",16.326,46.913
"40",16.511,47.748
"41",17.261,51.447
"42",20.127,49.21
"43",18.558,52.375
"44",14.891,52.845
"45",10.73,40.481
"46",16.107,54.088
"47",12.008,54.591
"48",38.08,0
"49",19.975,80.56
"50",22.024,0.714
"51",31.41,5.132
"52",34.656,3.396
"53",25.11,17.492
"54",34.8,17.84
"55",31.301,18.063
"56",40.277,21.778
"57",28.813,25.512
"58",35.827,36.814
"59",38.717,43.492
"60",34.048,53.633
"61",31.977,55.19
"62",30.962,63.011
"63",34.125,76.604
"64",36.627,78.363
"65",34.867,80.758
"66",39.884,80.832
"67",33.408,80.954
"68",35.704,80.955
"69",37.418,81.009
"70",42.971,1.428
"71",43.368,2.54
"72",45.315,3.039
"73",56.393,3.966
"74",57.998,4.636
"75",61.078,6.163
"76",59.255,6.586
"77",59.768,6.901
"78",59.68,0
"79",60.156,6.472
"80",46.366,7.165
"81",55.121,9.01
"82",53.783,8.832
"83",47.881,10.414
"84",58.018,11.009
"85",46.528,13.411
"86",54.873,16.196
"87",56.919,16.161
"88",52.908,17.454
"89",59.283,16.373
"90",0,40.32
"91",55.226,18.261
"92",54.789,18.692
"93",56.202,27.653
"94",53.227,29.238
"95",47.503,28.43
"96",55.771,30.115
"97",50.125,32.994
"98",54.078,39.54
"99",57.508,40.498
"100",43.786,46.391
"101",60.666,46.917
"102",51.878,47.507
"103",60.64,48.523
"104",44.798,51.812
"105",46.038,55.844
"106",53.71,54.29
"107",58.577,58.942
"108",56.824,59.815
"109",58.567,59.783
"110",55.8,60.038
"111",52.805,63.281
"112",55.033,63.424
"113",52.037,64.376
"114",59.2,63.2
"115",46.545,68.09
"116",49.866,69.194
"117",44.95,70.152
"118",60.56,70.819
"119",52.65,71.026
"120",53.028,72.114
"121",56.009,73.287
"122",55.083,73.787
"123",55.545,74.922
"124",59.038,78.513
"125",58.033,80.448
"126",63.239,1.655
"127",67.48,16.921
"128",68.573,17.496
"129",73.192,21.685
"130",71.619,24.199
"131",71.642,27.665
"132",67.954,29.42
"133",68.935,29.373
"134",72.115,29.398
"135",74.237,29.375
"136",70.219,30.12
"137",71.263,35.944
"138",73.624,36.266
"139",72.607,37.816
"140",74.786,38.76
"141",77.294,41.732
"142",79.385,41.758
"143",79.868,42.774
"144",79.165,44.276
"145",79.804,45.445
"146",76.542,46.07
"147",80.494,46.562
"148",64.699,48.391
