"","POSITION_X","POSITION_Y"
"1",44.861,23.57
"2",57.109,22.789
"3",43.804,24.094
"4",52.277,30.121
"5",41.62,25.136
"6",61.197,30.383
"7",54.524,32.493
"8",36.276,73.935
"9",58.956,34.964
"10",48.245,52.742
"11",51.157,56.004
"12",36.436,62.383
"13",55.394,74.677
"14",54.855,75.283
"15",51.936,54.964
"16",58.691,75.763
"17",52.097,75.817
"18",50.998,76.354
"19",53.699,80.655
"20",51.43,78.04
"21",54.418,79.51
"22",56.885,79.839
"23",56.005,80.613
"24",51.251,80.777
"25",51.925,80.857
"26",54.908,80.804
"27",62.104,13.511
"28",43.447,81.071
"29",70.719,19.571
"30",71.966,22.212
"31",65.115,22.45
"32",71.581,21.806
"33",65.616,25.443
"34",81.76,24.96
"35",61.639,29.46
"36",81.76,34.72
"37",67.855,35.934
"38",67.226,33.379
"39",81.76,36.48
"40",74.673,35.064
"41",74.174,39.395
"42",81.76,45.28
"43",73.933,49.273
"44",81.041,51.039
"45",64.944,52.704
"46",79.998,61.248
"47",65.271,54.047
"48",65.896,68.838
"49",71.961,72.489
"50",73.204,64.042
"51",64.006,74.4
"52",62.1,76.325
"53",73.48,74.253
"54",63.317,78.586
"55",61.522,78.709
"56",64.699,79.292
"57",66.46,78.156
"58",29.162,38.451
"59",40.022,49.424
"60",37.692,74.053
"61",55.725,10.151
"62",51.594,10.444
"63",25.347,76.103
"64",53.264,22.433
