"","POSITION_X","POSITION_Y"
"1",19.117,14.514
"2",14.686,17.648
"3",15.629,19.19
"4",18.947,19.653
"5",7.089,27.704
"6",19.859,32.431
"7",4.016,22.147
"8",6.41,22.034
"9",19.571,33.938
"10",10.49,36.007
"11",0.878,22.455
"12",7.318,23.046
"13",0,42.08
"14",10.292,42.274
"15",10.782,43.039
"16",0.69,43.882
"17",3.36,36.342
"18",12.337,36.581
"19",0.65,45.025
"20",7.81,45.217
"21",6.882,44.328
"22",9.915,44.58
"23",0.415,46.367
"24",17.011,46.504
"25",0,47.52
"26",0,49.12
"27",6.699,56.795
"28",17.274,57.127
"29",16.679,58.526
"30",15.653,58.837
"31",12.863,53.766
"32",10.345,56.454
"33",16.446,60.068
"34",15.786,60.991
"35",11.353,66.416
"36",14.049,66.424
"37",16.064,70.415
"38",15.399,70.844
"39",9.387,69.006
"40",2.156,69.668
"41",11.885,71.229
"42",10.611,72.14
"43",16.177,73.169
"44",11.663,73.262
"45",14.578,67.496
"46",1.142,67.939
"47",21.631,9.715
"48",30.681,10.791
"49",37.453,12.771
"50",21.476,12.95
"51",31.901,13.611
"52",35.175,15.274
"53",38.402,20.055
"54",35.653,22.608
"55",24.77,27.577
"56",31.164,28.604
"57",1.458,77.962
"58",12.88,78.952
"59",23.924,30.38
"60",28.622,32.401
"61",34.039,32.561
"62",29.17,33.185
"63",24.681,33.304
"64",32.579,33.722
"65",30.412,35.527
"66",31.575,36.685
"67",31.561,38.162
"68",22.456,38.545
"69",30.416,39.409
"70",26.763,41.512
"71",23.424,43.972
"72",23.813,44.735
"73",22.804,50.88
"74",39.741,54.173
"75",33.549,55.045
"76",32.105,55.626
"77",23.694,58.991
"78",37.559,59.544
"79",24.298,60.494
"80",37.578,60.767
"81",22.229,61.198
"82",30.735,61.066
"83",21.608,63.634
"84",31.156,64.815
"85",26.642,65.469
"86",35.021,65.621
"87",2.663,37.163
"88",5.889,39.765
"89",34.912,67.925
"90",28.111,68.303
"91",31.224,69.256
"92",30.743,72.179
"93",39.576,73.699
"94",35.322,74.172
"95",35.786,75.611
"96",36.404,75.673
"97",40.137,76.984
"98",21.525,77.096
"99",27.712,80.348
"100",21.92,81.76
"101",38.56,81.76
"102",46.732,9.711
"103",44.014,11.055
"104",45.398,11.16
"105",44.297,12.183
"106",52.545,12.653
"107",43.517,11.795
"108",60.742,12.053
"109",54.744,13.594
"110",49.611,15.346
"111",54.283,16.17
"112",43.807,17.915
"113",55.226,21.136
"114",58.545,22.227
"115",57.762,22.416
"116",48.099,23.093
"117",43.375,33.235
"118",43.31,34.013
"119",57.918,34.767
"120",56.855,37.532
"121",43.969,39.952
"122",48.017,42.383
"123",53.954,38.673
"124",53.216,38.819
"125",50.396,48.046
"126",53.917,48.402
"127",50.461,52.118
"128",56.613,55.278
"129",43.884,56.065
"130",58.18,57.955
"131",41.401,60.951
"132",53.425,63.504
"133",49.379,30.035
"134",45.327,31.138
"135",60.559,66.556
"136",47.395,76.784
"137",50.519,77.424
"138",41.953,77.981
"139",49.861,10.105
"140",54.275,10.327
"141",44.151,80.652
"142",56.48,81.76
"143",55.783,78.317
"144",50.928,79.201
"145",64.16,0
"146",68.024,0.506
"147",74.077,6.57
"148",75.817,6.6
"149",76.213,2.781
"150",64.21,6.12
"151",69.442,0.55
"152",75.337,0.75
"153",61.383,8.508
"154",68.09,8.473
"155",76.224,10.198
"156",71.485,10.453
"157",70.272,10.774
"158",77.464,11.166
"159",79.793,13.485
"160",80.414,13.786
"161",81.665,14.226
"162",71.679,14.694
"163",62.54,16.733
"164",65.694,17.587
"165",72.711,18.897
"166",74.328,20.881
"167",76.234,20.809
"168",80.757,22.117
"169",74.388,23.664
"170",79.701,26.052
"171",70.657,27.636
"172",70.426,29.552
"173",74.397,30.75
"174",77.533,34.75
"175",79.015,34.991
"176",62.688,36.005
"177",63.974,37
"178",62.131,37.621
"179",72.075,37.61
"180",67.953,38.239
"181",78.558,39.138
"182",77.559,39.759
"183",65.2,39.948
"184",66.987,39.949
"185",79.901,40.168
"186",76.089,40.273
"187",77.08,41.266
"188",79.669,42.842
"189",66.636,44.09
"190",69.668,48.933
"191",75.341,50.11
"192",66.932,50.642
"193",74.178,51.567
"194",67.912,52.471
"195",76.727,53.659
"196",78.42,54.091
"197",76.046,55.279
"198",68.054,55.773
"199",77.915,57.177
"200",64.217,62.122
"201",66.446,63.106
"202",61.611,63.511
"203",64.828,64.753
"204",73.439,65.565
"205",75.048,66.66
"206",62.155,69.357
"207",75.159,70.351
"208",66.601,75.12
"209",69.032,75.007
"210",68.492,75.425
"211",68.998,77.519
"212",69.971,77.665
"213",71.701,77.724
"214",62.958,79.444
"215",61.872,79.75
