"","POSITION_X","POSITION_Y"
"1",11.036,1.684
"2",4.558,17.339
"3",19.115,3.246
"4",12.447,33.351
"5",19.977,31.454
"6",18.222,39.848
"7",1.384,35.307
"8",14.59,43.5
"9",9.71,41.523
"10",6.102,45.86
"11",14.964,44.342
"12",2.155,50.402
"13",15.417,50.138
"14",11.847,56.624
"15",0.985,54.843
"16",1.686,78.556
"17",3.479,74.258
"18",9.519,80.178
"19",8.452,79.413
"20",39.144,3.396
"21",6.08,81.76
"22",32.383,5.987
"23",39.469,4.501
"24",33.771,9.302
"25",20.539,7.592
"26",32.232,16.838
"27",27.967,15.659
"28",34.059,19.806
"29",34.511,18.945
"30",37.744,25.969
"31",32.832,20.452
"32",20.443,29.529
"33",28.175,26.207
"34",40.247,30.307
"35",39.166,29.817
"36",34.834,31.766
"37",34.904,31.269
"38",21.186,33.247
"39",36.677,32.128
"40",27.587,35.586
"41",39.921,33.751
"42",31.117,39.634
"43",32.093,37.986
"44",36.181,49.914
"45",40.334,42.441
"46",35.54,51.059
"47",37.098,49.951
"48",39.302,58.909
"49",25.042,57.559
"50",29.624,38.163
"51",33.855,63.022
"52",22.572,64.268
"53",39.512,63.699
"54",32.35,68.99
"55",21.828,64.665
"56",21.059,70.833
"57",21.616,69.423
"58",30.88,81.76
"59",38.185,78.863
"60",60.144,5.596
"61",59.743,1.187
"62",57.833,8.875
"63",58.069,7.535
"64",41.74,18.625
"65",44.503,13.715
"66",49.898,19.672
"67",44.879,16.416
"68",60.77,24.02
"69",60.431,19.889
"70",53.888,26.384
"71",45.045,24.787
"72",43.828,34.719
"73",60.949,30.869
"74",41.244,36.962
"75",49.365,35.084
"76",47.808,37.882
"77",17.072,7.123
"78",5.804,16.222
"79",42.611,39.335
"80",53.908,41.627
"81",50.72,40.946
"82",42.6,43.704
"83",53.885,42.969
"84",56.896,45.126
"85",54.75,43.895
"86",52.224,49.841
"87",57.543,47.148
"88",60.487,58.099
"89",55.379,54.481
"90",57.685,59.753
"91",41.143,59.356
"92",42.039,60.708
"93",58.205,59.839
"94",51.948,66.052
"95",60.172,65.169
"96",51.624,68.168
"97",53.403,66.625
"98",61.299,69.644
"99",60.397,68.846
"100",71.969,0.772
"101",41.28,81.76
"102",75.584,2.457
"103",62.567,2.052
"104",64.668,6.893
"105",76.923,3.052
"106",63.195,7.998
"107",72.429,7.822
"108",79.846,14.11
"109",64.989,9.015
"110",65.921,18.412
"111",64.186,16.516
"112",64.677,24.185
"113",64.537,22.067
"114",71.032,26.024
"115",61.955,25.962
"116",72.983,26.391
"117",81.76,26.24
"118",67.432,33.077
"119",65.546,32.087
"120",81.76,34.56
"121",71.068,33.288
"122",68.615,37.117
"123",81.494,35.796
"124",61.497,39.905
"125",81.76,38.4
"126",70.468,49.427
"127",69.533,45.136
"128",81.76,57.92
"129",81.76,56.96
"130",80.667,59.818
"131",79.642,59.18
"132",78.395,63.09
"133",81.305,61.133
"134",74.844,66.608
"135",69.587,63.808
"136",81.054,75.285
"137",73.82,67.054
"138",65.602,77.307
"139",64.486,77.212
"140",68.32,81.76
"141",77.25,81.285
