"","POSITION_X","POSITION_Y"
"1",3.853,9.295
"2",17.272,36.587
"3",12.15,38.106
"4",1.223,43.446
"5",12.63,58.289
"6",16.65,59.76
"7",1.257,60.724
"8",8.994,68.958
"9",1.9,72.155
"10",13.725,74.562
"11",12.645,74.839
"12",2.59,75.307
"13",13.346,75.424
"14",0,76.16
"15",11.3,77.005
"16",17.937,78.477
"17",36.899,16.095
"18",28.017,15.934
"19",36.976,17.484
"20",35.127,18.167
"21",38.124,21.039
"22",4.321,19.754
"23",34.402,27.164
"24",1.052,20.165
"25",34.257,32.744
"26",38.52,32.54
"27",28.937,35.62
"28",34.736,39.205
"29",21.478,43.349
"30",32.503,48.507
"31",38.168,37.057
"32",39.221,48.415
"33",34.866,48.74
"34",37.566,50.559
"35",35.804,53.962
"36",34.404,54.784
"37",33.409,57.565
"38",24.087,61.843
"39",39.728,58.375
"40",25.474,66.861
"41",26.184,61.965
"42",37.611,67.139
"43",30.019,62.294
"44",21.987,69.605
"45",36.814,69.071
"46",27.814,69.876
"47",29.33,71.063
"48",29.546,75.139
"49",22.948,75.087
"50",21.399,75.675
"51",28.076,72.704
"52",53.069,13.439
"53",34.72,81.76
"54",50.488,24.471
"55",43.536,14.961
"56",37.507,81.074
"57",43.578,26.896
"58",58.327,28.509
"59",13.679,23.516
"60",59.302,30.893
"61",43.707,30.578
"62",43.552,33.044
"63",45.195,34.268
"64",61.314,41.641
"65",57.101,39.262
"66",46.873,42.842
"67",53.36,39.057
"68",49.294,43.501
"69",55.608,43.083
"70",48.988,48.574
"71",49.387,45.254
"72",41.061,50.364
"73",51.11,49.328
"74",47.001,54.193
"75",45.852,53.415
"76",45.433,26.337
"77",49.807,54.398
"78",48.936,60.635
"79",49.513,58.182
"80",43.957,61.629
"81",56.171,65.612
"82",47.337,61.795
"83",46.985,65.894
"84",48.835,66.586
"85",49.671,66.504
"86",53.373,67.396
"87",59.304,67.68
"88",47.325,75.291
"89",52.863,70.509
"90",49.295,78.751
"91",58.955,81.492
"92",54.72,81.76
"93",56.96,81.76
"94",81.28,0
"95",76.89,0.452
"96",81.76,0.48
"97",81.76,2.24
"98",68.861,1.797
"99",76.451,11.8
"100",81.76,3.84
"101",64.04,24.733
"102",71.802,17.923
"103",76.041,28.72
"104",77.3,27.959
"105",81.76,32.32
"106",81.76,29.92
"107",71.491,44.856
"108",64.325,42.492
"109",73.042,48.719
"110",64.319,46.527
"111",67.363,53.658
"112",65.392,53.147
"113",63.869,62.277
"114",67.248,54.395
"115",61.806,65.578
"116",62.661,64.014
"117",65.575,68.245
"118",62.914,67.684
"119",68.166,80.63
"120",65.632,69.116
"121",67.68,81.76
"122",61.448,81.002
"123",75.2,81.76
"124",72.48,81.76
