"","POSITION_X","POSITION_Y"
"1",66.81,37.112
"2",81.76,37.12
"3",65.543,41.986
"4",58.678,75.349
"5",66.832,51.379
"6",71.287,43.096
"7",11.159,30.838
"8",9.052,33.781
"9",13.83,31.146
"10",19.442,43.849
"11",12.239,41.321
"12",18.534,44.116
"13",14.779,42.254
"14",18.19,52.754
"15",17.035,48.174
"16",14.946,63.035
"17",18.247,62.854
"18",28.818,48.589
"19",27.562,29.626
"20",20.971,62.95
"21",35.953,48.672
"22",32.76,63.009
"23",36.925,56.885
"24",30.004,63.444
"25",22.601,64.353
"26",37.047,67.625
"27",7.884,34.902
"28",44.367,48.735
"29",43.841,39.98
"30",44.799,49.745
"31",46.903,40.03
"32",49.171,56.665
"33",47.552,54.897
"34",60.703,64.323
"35",48.968,59.653
"36",53.03,70.723
"37",52.282,68.319
"38",50.286,70.896
"39",44.985,70.722
"40",78.342,29.105
"41",77.797,31.942
