"","POSITION_X","POSITION_Y"
"1",0,81.76
"2",11.867,53.477
"3",31.186,21.903
"4",30.888,21.131
"5",33.214,22.82
"6",38.129,22.035
"7",34.337,24.081
"8",33.305,24.215
"9",38.215,21.831
"10",31.222,30.103
"11",30.456,45.119
"12",24.642,38.858
"13",29.591,49.125
"14",27.171,39.238
"15",23.533,53.926
"16",21.494,51.889
"17",32.569,55.027
"18",23.479,54.935
"19",30.996,57.304
"20",22.019,55.677
"21",38.363,61.706
"22",26.063,61.218
"23",39.19,63.006
"24",39.344,62.258
"25",34.181,67.102
"26",24.644,64.419
"27",21.129,70.531
"28",34.448,67.988
"29",34.153,69.217
"30",33.478,70.491
"31",21.586,71.678
"32",32.47,71.353
"33",25.078,72.822
"34",39.68,81.76
"35",43.36,0
"36",40.8,81.76
"37",25.221,71.906
"38",44.64,0
"39",44.858,22.097
"40",45.92,0
"41",58.059,39.479
"42",54.342,33.325
"43",54.133,35.755
"44",54.495,48.001
"45",57.114,50.752
"46",49.194,49.464
"47",43.441,54.38
"48",48.084,51.122
"49",49.091,57.547
"50",48.642,54.597
"51",44.963,65.612
"52",49.476,59.2
"53",46.205,66.38
"54",52.431,61.812
"55",41.202,67.366
"56",42.336,69.142
"57",51.258,70.483
"58",41.905,72.592
"59",55.776,61.398
"60",51.424,76.232
"61",42.72,81.76
"62",45.341,79.273
"63",48.32,81.6
"64",61.04,73.076
"65",56.64,81.76
"66",49.44,81.76
"67",62.907,24.816
"68",81.76,9.76
"69",67.404,44.804
"70",74.957,34.131
"71",81.76,52.16
"72",81.76,49.28
"73",63.166,53.288
"74",63.747,52.012
"75",81.76,54.4
"76",81.76,53.44
"77",76.62,56.623
"78",75.972,55.359
"79",62.521,61.438
"80",62.674,60.252
"81",70.304,69.615
"82",71.125,69.444
"83",70.885,75.537
"84",79.659,70.378
